CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
318213,NA,1,2025,258049.67
318213,NA,1,2025,3333.58
318213,NA,1,2025,359371.58
318213,NA,1,2025,26168.8
318213,NA,1,2025,26168.8
318213,NA,1,2025,4961.59
318213,NA,1,2025,630.42
318213,NA,1,2025,1196.66
318213,NA,1,2025,4331.17
318213,NA,1,2025,8722.4
318213,NA,1,2025,21207.21
318213,NA,1,2025,18574.48
318213,NA,1,2025,129976.2
318213,NA,1,2025,2632.73
318213,NA,1,2025,6935.47
318213,NA,1,2025,2837496.18
318213,NA,1,2025,2837496.18
318213,NA,1,2025,2837496.18
318213,NA,1,2025,156457.61
318213,NA,1,2025,156457.61
318213,NA,1,2025,489976.36
318213,NA,1,2025,539705.49
318213,NA,1,2025,18410.12
318213,NA,1,2025,18410.12
318213,NA,1,2025,430909.2
318213,NA,1,2025,512990.74
318213,NA,1,2025,256.2
318213,NA,1,2025,256.2
318213,NA,1,2025,357504.16
318213,NA,1,2025,496655.82
318213,NA,1,2025,49868.61
318213,NA,1,2025,49868.61
318213,NA,1,2025,415165.7
318213,NA,1,2025,432448.12
318213,NA,1,2025,1018.04
318213,NA,1,2025,1018.04
318213,NA,1,2025,451411.89
318213,NA,1,2025,482663.79
318213,NA,1,2025,314970.47
318213,NA,1,2025,385972.71
318213,NA,1,2025,772.45
318213,NA,1,2025,772.45
318213,NA,1,2025,42342.0
318213,NA,1,2025,45751.86
318213,NA,1,2025,276.2
318213,NA,1,2025,276.2
318213,NA,1,2025,21394.32
318213,NA,1,2025,25165.87
318213,NA,1,2025,86762.85
318213,NA,1,2025,100827.16
318213,NA,1,2025,15204.43
318213,NA,1,2025,2889.27
318213,NA,1,2025,4789.41
318213,NA,1,2025,20390.95
318213,NA,1,2025,348058.8
318213,NA,1,2025,314013.55
318213,NA,1,2025,1430.28
318213,NA,1,2025,108822.41
318213,NA,1,2025,159842.47
318213,NA,1,2025,159842.47
318213,NA,1,2025,158392.47
318213,NA,1,2025,2754.59
318213,NA,1,2025,2800.0
318213,NA,1,2025,32402.5
318213,NA,1,2025,43757.25
318213,NA,1,2025,2640.7
318213,NA,1,2025,2640.7
318213,NA,1,2025,20285.97
318213,NA,1,2025,22353.85
318213,NA,1,2025,100308.71
318213,NA,1,2025,106718.57
318213,NA,1,2025,1450.0
318213,NA,1,2025,350.0
318213,NA,1,2025,350.0
318213,NA,1,2025,1100.0
318213,NA,1,2025,135429.14
318213,NA,1,2025,40662.84
318213,NA,1,2025,40662.84
318213,NA,1,2025,40662.84
318213,NA,1,2025,40662.84
318213,NA,1,2025,126568.04
312720,NA,1,2025,944290.19
312720,NA,1,2025,961679.47
312720,NA,1,2025,1628.8
312720,NA,1,2025,1579795.2
312720,NA,1,2025,1266285.02
312720,NA,1,2025,1414658.37
312720,NA,1,2025,8800.15
312720,NA,1,2025,474078.83
312720,NA,1,2025,184.66
312720,NA,1,2025,17126.16
312720,NA,1,2025,17126.16
312720,NA,1,2025,1590.3
312720,NA,1,2025,1590.3
312720,NA,1,2025,591808.84
312720,NA,1,2025,463737.86
312720,NA,1,2025,149374.74
312720,NA,1,2025,174472.68
312720,NA,1,2025,226068.38
312720,NA,1,2025,128702.38
312720,NA,1,2025,1783.04
312720,NA,1,2025,1783.04
312720,NA,1,2025,110817939.03
312720,NA,1,2025,110817939.03
312720,NA,1,2025,126745369.82
312720,NA,1,2025,5045928.28
312720,NA,1,2025,5179536.3
312720,NA,1,2025,0.12
312720,NA,1,2025,71876.16
312720,NA,1,2025,5661347.46
312720,NA,1,2025,6018823.91
312720,NA,1,2025,397414.26
312720,NA,1,2025,2554790.22
312720,NA,1,2025,2472541.92
312720,NA,1,2025,106.31
312720,NA,1,2025,154980.24
312720,NA,1,2025,60466411.01
312720,NA,1,2025,71951771.98
312720,NA,1,2025,889565.47
312720,NA,1,2025,98949.95
312720,NA,1,2025,102094.15
312720,NA,1,2025,21080879.28
312720,NA,1,2025,26540493.4
312720,NA,1,2025,139098.54
312720,NA,1,2025,1247796.27
312720,NA,1,2025,1289387.13
312720,NA,1,2025,7534.31
312720,NA,1,2025,2364994.8
312720,NA,1,2025,2460130.76
312720,NA,1,2025,682.52
312720,NA,1,2025,176588.4
312720,NA,1,2025,186269.04
312720,NA,1,2025,7467440.84
312720,NA,1,2025,7836407.65
312720,NA,1,2025,109168.68
312720,NA,1,2025,2607.23
312720,NA,1,2025,2729.23
312720,NA,1,2025,20577636.08
312720,NA,1,2025,21732157.56
